CADRE GENE ID,AFUB Gene ID,Af293 orthologue,public id,Description for A1163,Description for Af293
CADAFUBG00003614,AFUB_036270,CADAFUAG00005360,AFUA_3G12920,nonribosomal peptide synthase GliP2; encoded by transcript AFUB_036270A similar to SirP (GI:46403055) [Leptosphaeria maculans] PMID: 15387811 similar to GliP (GI:56609357) [Aspergillus fumigatus] PMID: 15979823,"Afu3g12920 (Alt. Locus), nonribosomal peptide synthase GliP-like, putative, similar to SirP (GI:46403055) (Leptosphaeria maculans) PMID: 15387811  similar to GliP (GI:56609357) (Aspergillus fumigatus)  PMID: 15979823, (6.3.2.-)"
CADAFUBG00003615,AFUB_036280,CADAFUAG00005819,AFUA_3G12910,O-methyltransferase GliM2; encoded by transcript AFUB_036280A similar to GB:AAS92548.1: SirM [Leptosphaeria maculans] similar to GliM (GI:56609355) [Aspergillus fumigatus] PMID: 15979823,"Afu3g12910 (Alt. Locus), O-methyltransferase GliM-like, putative, similar to GB:AAS92548.1: SirM (Leptosphaeria maculans)  similar to GliM (GI:56609355) (Aspergillus fumigatus) PMID: 15979823, (2.-.-.-)"
CADAFUBG00003616,AFUB_036290,CADAFUAG00005356,AFUA_3G12900,"MFS transporter, putative; encoded by transcript AFUB_036290A","Afu3g12900 (Alt. Locus), MFS transporter, putative, similar to monocarboxylate permease Mch4p (GI:6324453) (Saccharomyces cerevisiae)"
CADAFUBG00003617,AFUB_036300,CADAFUAG00005508,AFUA_3G12890,"C6 transcription factor GliZ-like, putative; encoded by transcript AFUB_036300A","Afu3g12890 (Alt. Locus), C6 transcription factor GliZ-like, putative, similar to GB:AAS92551.1: SirZ (Leptosphaeria maculans)          similar to GB:AAM02989.1: AFLR (Aspergillus pseudotamarii)"
CADAFUBG00003618,AFUB_036310,CADAFUAG00005229,AFUA_3G12870,"GTPase activating protein (Gyp3), putative; encoded by transcript AFUB_036310A","Afu3g12870 (Alt. Locus), GTPase activating protein (Gyp3), putative"
CADAFUBG00003619,AFUB_036320,CADAFUAG00005443,AFUA_3G12850,"ubiquitin conjugating enzyme (UbcB), putative; encoded by transcript AFUB_036320A","Afu3g12850 (Alt. Locus), ubiquitin conjugating enzyme (UbcB), putative, (6.3.2.19)"
CADAFUBG00003620,AFUB_036330,CADAFUAG00005392,AFUA_3G12840,Signal peptidase I; encoded by transcript AFUB_036330A,"Afu3g12840 (Alt. Locus), Signal peptidase I"
CADAFUBG00003621,AFUB_036340,CADAFUAG00005272,AFUA_3G12830,"RTA1 domain protein, putative; encoded by transcript AFUB_036340A","Afu3g12830 (Alt. Locus), RTA1 domain protein, putative, similar to putative membrane protein, transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance; Ylr046cp (GI:6323075) (Saccharomyces cerevisiae)"
CADAFUBG00003622,AFUB_036350,CADAFUAG00005029,AFUA_3G12820,kinesin family protein; encoded by transcript AFUB_036350A,"Afu3g12820 (Alt. Locus), kinesin family protein"
CADAFUBG00003623,AFUB_036360,CADAFUAG00005681,AFUA_3G12810,"transcriptional corepressor of histone genes (Hir3), putative; encoded by transcript AFUB_036360A",Histone transcription regulator 3 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q4WYF1]
CADAFUBG00003624,AFUB_036370,CADAFUAG00005610,AFUA_3G12800,"clathrin-coated vesiclec protein (Bud7), putative; encoded by transcript AFUB_036370A","Afu3g12800 (Alt. Locus), clathrin-coated vesiclec protein (Bud7), putative, similar to protein involved in bud-site selection; diploid mutants display an axial-like budding pattern; Bud7p (GI:6324874) (Saccharomyces cerevisiae) PMID: 8657162  similar to SP:P40955: Chitin biosynthesis protein CHS6 (CSD3 protein) (Saccharomyces cerevisiae)"
CADAFUBG00003625,AFUB_036380,CADAFUAG00005493,AFUA_3G12790,conserved glutamic acid-rich protein; encoded by transcript AFUB_036380A,"Afu3g12790 (Alt. Locus), conserved glutamic acid-rich protein, similar to GB:AAG00554.1: retinitis pigmentosa GTPase regulator-like             protein (Takifugu rubripes) PMID: 10932196"
CADAFUBG00003626,AFUB_036390,CADAFUAG00004940,AFUA_3G12780,"C6 transcription factor, putative; encoded by transcript AFUB_036390A","Afu3g12780 (Alt. Locus), C6 transcription factor, putative"
CADAFUBG00003627,AFUB_036400,CADAFUAG00005350,AFUA_3G12770,"nucleoside-diphosphate-sugar epimerase, putative; encoded by transcript AFUB_036400A","Afu3g12770 (Alt. Locus), nucleoside-diphosphate-sugar epimerase, putative, (1.1.1.-)"
CADAFUBG00003628,AFUB_036410,CADAFUAG00005557,AFUA_3G12760,conserved hypothetical protein; encoded by transcript AFUB_036410A frameshift,"Afu3g12760 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003629,AFUB_036420,CADAFUAG00005089,AFUA_3G12750,"DNA repair protein Mus81, putative; encoded by transcript AFUB_036420A",Crossover junction endonuclease mus81 (EC 3.1.22.-) [Source:UniProtKB/Swiss-Prot;Acc:Q4WYE5]
CADAFUBG00003630,AFUB_036430,CADAFUAG00004923,AFUA_3G12740,"copper resistance-associated P-type ATPase, putative; encoded by transcript AFUB_036430A","Afu3g12740 (Alt. Locus), copper resistance-associated P-type ATPase, putative, similar to Probable copper-transporting ATPase (EC 3.6.3.4) (Cu(2 )-ATPase). (Swiss-Prot:P38360) (Saccharomyces cerevisiae;)  PMID: 7754711, (3.6.3.4)"
CADAFUBG00003631,AFUB_036440,CADAFUAG00005285,AFUA_3G12730,"transcription factor TFIIIB complex subunit Brf1, putative; encoded by transcript AFUB_036440A","Afu3g12730 (Alt. Locus), transcription factor TFIIIB complex subunit Brf1, putative, similar to TFIIIB B-related factor, one of three subunits of RNA polymerase III transcription initiation factor TFIIIB, binds TFIIIC and TBP and recruits RNA pol III to promoters, amino-terminal half is homologous to TFIIB; Brf1p (GI:6321685) (Saccharomyces cerevisiae)"
CADAFUBG00003632,AFUB_036450,CADAFUAG00004959,AFUA_3G12720,sugar transporter-like protein; encoded by transcript AFUB_036450A,"Afu3g12720 (Alt. Locus), sugar transporter-like protein"
CADAFUBG00003633,AFUB_036460,CADAFUAG00005129,AFUA_3G12710,conserved hypothetical protein; encoded by transcript AFUB_036460A,"Afu3g12710 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003634,AFUB_036470,CADAFUAG00005728,AFUA_3G12700,DUF250 domain membrane protein; encoded by transcript AFUB_036470A,"Afu3g12700 (Alt. Locus), DUF250 domain membrane protein, contain a DUF250 domain"
CADAFUBG00003635,AFUB_036480,CADAFUAG00005881,AFUA_3G12690,conserved hypothetical protein; encoded by transcript AFUB_036480A,UDP-galactopyranose mutase (EC 5.4.99.9) [Source:UniProtKB/TrEMBL;Acc:Q4W1X2]
CADAFUBG00003636,AFUB_036490,CADAFUAG00005518,AFUA_3G12680,conserved hypothetical protein; encoded by transcript AFUB_036490A,"Afu3g12680 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003637,AFUB_036500,CADAFUAG00005189,AFUA_3G12670,"serine/threonine protein kinase, putative; encoded by transcript AFUB_036500A","Afu3g12670 (Alt. Locus), serine/threonine protein kinase, putative"
CADAFUBG00003638,AFUB_036510,CADAFUAG00005111,AFUA_3G12660,"C6 finger domain protein Acr-2, putative; encoded by transcript AFUB_036510A","Afu3g12660 (Alt. Locus), C6 finger domain protein Acr-2, putative, similar to acr-2 (GI:1754596) (Neurospora crassa) PMID: 8679704"
CADAFUBG00003639,AFUB_036520,CADAFUAG00005677,AFUA_3G12650,conserved hypothetical protein; encoded by transcript AFUB_036520A,"Afu3g12650 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003640,AFUB_036530,CADAFUAG00005794,AFUA_3G12640,seryl-tRNA synthetase; encoded by transcript AFUB_036530A,"Afu3g12640 (Alt. Locus), seryl-tRNA synthetase, (6.1.1.11)"
CADAFUBG00003641,AFUB_036540,CADAFUAG00005434,AFUA_3G12630,"cytochrome b561, putative; encoded by transcript AFUB_036540A","Afu3g12630 (Alt. Locus), cytochrome b561, putative, Cytochrome b561 (GI:8469163) (Xenopus laevis)"
CADAFUBG00003642,AFUB_036550,,,hypothetical protein; encoded by transcript AFUB_036550A,
CADAFUBG00003643,AFUB_036560,CADAFUAG00005299,AFUA_3G12620,"acyl-CoA:6-aminopenicillanic-acid-acyltransferase,putative; encoded by transcript AFUB_036560A","Afu3g12620 (Alt. Locus), acyl-CoA:6-aminopenicillanic-acid-acyltransferase, putative"
CADAFUBG00003644,AFUB_036570,CADAFUAG00005202,AFUA_3G12610,conserved hypothetical protein; encoded by transcript AFUB_036570A,"Afu3g12610 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003645,AFUB_036580,CADAFUAG00005221,AFUA_3G12600,"beta-glucosidase, putative; encoded by transcript AFUB_036580A","Afu3g12600 (Alt. Locus), beta-glucosidase, putative"
CADAFUBG00003646,AFUB_036590,CADAFUAG00005084,AFUA_3G12590,conserved hypothetical protein; encoded by transcript AFUB_036590A,"Afu3g12590 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003647,AFUB_036600,CADAFUAG00005854,AFUA_3G12580,"MFS sugar transporter protein, putative; encoded by transcript AFUB_036600A","Afu3g12580 (Alt. Locus), MFS sugar transporter protein, putative"
CADAFUBG00003648,AFUB_036610,CADAFUAG00004989,AFUA_3G12570,conserved hypothetical protein; encoded by transcript AFUB_036610A,"Afu3g12570 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003649,AFUB_036620,CADAFUAG00005715,AFUA_3G12560,"allantoicase Alc, putative; encoded by transcript AFUB_036620A","Afu3g12560 (Alt. Locus), allantoicase Alc, putative, similar to SP:P18407: allantoicase  Alc (Neurospora crassa) PMID: 2148685, (3.5.3.4)"
CADAFUBG00003650,AFUB_036630,CADAFUAG00005790,AFUA_3G12550,"sensor histidine kinase/response regulator, putative; encoded by transcript AFUB_036630A","Afu3g12550 (Alt. Locus), sensor histidine kinase/response regulator, putative, similar to histidine kinase HHK1p (GI:39726359) (Gibberella moniliformis) contains protein kinase, GAF, HisKA, HATPase_c, and REC domains"
CADAFUBG00003651,AFUB_036640,CADAFUAG00005537,AFUA_3G12530,"sensor histidine kinase/response regulator, putative; encoded by transcript AFUB_036640A","Afu3g12530 (Alt. Locus), sensor histidine kinase/response regulator, putative, similar to histidine kinase HHK2p (GI:39726389) (Gibberella moniliformis) contains PAS, PAC, HisKA, HATPase_c, and REC domains"
CADAFUBG00003652,AFUB_036650,CADAFUAG00005411,AFUA_3G12520,conserved hypothetical protein; encoded by transcript AFUB_036650A,"Afu3g12520 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003653,AFUB_036660,CADAFUAG00005269,AFUA_3G12510,"vesicular fusion ATPase, putative; encoded by transcript AFUB_036660A","Afu3g12510 (Alt. Locus), vesicular fusion ATPase, putative"
CADAFUBG00003654,AFUB_036670,CADAFUAG00005118,AFUA_3G12500,conserved hypothetical protein; encoded by transcript AFUB_036670A,"Afu3g12500 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003655,AFUB_036680,CADAFUAG00005140,AFUA_3G12490,protein arginine methyltransferase RmtB; encoded by transcript AFUB_036680A,"Afu3g12490 (Alt. Locus), protein arginine methyltransferase RmtB, similar to protein methyltransferase RmtB (GI:38892913) (Emericella nidulans)"
CADAFUBG00003656,AFUB_036690,CADAFUAG00005022,AFUA_3G12480,conidiophore development protein HymA; encoded by transcript AFUB_036690A,"Afu3g12480 (Alt. Locus), conidiophore development protein HymA, similar to SP:O60032: conidiophore development protein hymA (Emericella nidulans)  similar to MO25 like protein (GI:75992712) (Schizosaccharomyces pombe)  similar to component of the RAM signaling network that is involved in regulation of Ace2p activity and cellular morphogenesis, interacts with Kic1p and Sog2p, localizes to sites of polarized growth during budding and during the mating response; Hym1p (GI:6322659) (Saccharomyces cerevisiae)"
CADAFUBG00003657,AFUB_036700,CADAFUAG00005850,AFUA_3G12470,"TBC domain protein, putative; encoded by transcript AFUB_036700A","Afu3g12470 (Alt. Locus), TBC domain protein, putative"
CADAFUBG00003658,AFUB_036710,CADAFUAG00005658,AFUA_3G12460,conserved hypothetical protein; encoded by transcript AFUB_036710A,"Afu3g12460 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003659,AFUB_036720,CADAFUAG00005604,AFUA_3G12450,DIL and Ankyrin domain protein; encoded by transcript AFUB_036720A,"Afu3g12450 (Alt. Locus), DIL and Ankyrin domain protein"
CADAFUBG00003660,AFUB_036730,CADAFUAG00005466,AFUA_3G12440,hypothetical protein; encoded by transcript AFUB_036730A,"Afu3g12440 (Alt. Locus), hypothetical protein"
CADAFUBG00003661,AFUB_036740,CADAFUAG00005461,AFUA_3G12430,"guanine nucleotide exchange factor, putative; encoded by transcript AFUB_036740A","Afu3g12430 (Alt. Locus), guanine nucleotide exchange factor, putative, similar to Low temperature essential protein. (Swiss-Prot:P07866) (Saccharomyces cerevisiae;)"
CADAFUBG00003662,AFUB_036750,CADAFUAG00005605,AFUA_3G12420,endothelin-converting enzyme; encoded by transcript AFUB_036750A,"Afu3g12420 (Alt. Locus), endothelin-converting enzyme, (3.4.24.-)"
CADAFUBG00003663,AFUB_036760,CADAFUAG00005462,AFUA_3G12400,G protein complex alpha subunit GanA; encoded by transcript AFUB_036760A,"Afu3g12400 (Alt. Locus), G protein complex alpha subunit GanA, similar to GB:AAD34893.1: G protein alpha subunit GanA (Emericella nidulans)          similar to G-alpha subunit GasB (GI:33641702) (Penicillium marneffei)  similar to G protein alpha subunit (GI:27465189) (Hypocrea virens) PMID: 14711686"
CADAFUBG00003664,AFUB_036770,CADAFUAG00005386,AFUA_3G12390,hypothetical protein; encoded by transcript AFUB_036770A,"Afu3g12390 (Alt. Locus), hypothetical protein"
CADAFUBG00003665,AFUB_036780,CADAFUAG00005245,AFUA_3G12380,conserved hypothetical protein; encoded by transcript AFUB_036780A,"Afu3g12380 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003666,AFUB_036790,CADAFUAG00005157,AFUA_3G12370,"vacuolar ATP synthase 16 kDa proteolipid subunit, putative; encoded by transcript AFUB_036790A","Afu3g12370 (Alt. Locus), vacuolar ATP synthase 16 kDa proteolipid subunit, putative, similar to Vacuolar ATP synthase 16 kDa proteolipid subunit. (Swiss-Prot:P25515) (Saccharomyces cerevisiae;).  PMID: 1825730, (3.6.3.14)"
CADAFUBG00003667,AFUB_036800,CADAFUAG00005460,AFUA_3G12360,conserved hypothetical protein; encoded by transcript AFUB_036800A,"Afu3g12360 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003668,AFUB_036810,CADAFUAG00005150,AFUA_3G12350,"stress response RCI peptide, putative; encoded by transcript AFUB_036810A",Plasma membrane proteolipid 3  [Source:UniProtKB/Swiss-Prot;Acc:Q4WYA5]
CADAFUBG00003669,AFUB_036820,CADAFUAG00004988,AFUA_3G12340,conserved hypothetical protein; encoded by transcript AFUB_036820A,"Afu3g12340 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003670,AFUB_036830,CADAFUAG00005735,AFUA_3G12330,phosphatidyl synthase; encoded by transcript AFUB_036830A,"Afu3g12330 (Alt. Locus), phosphatidyl synthase"
CADAFUBG00003671,AFUB_036840,CADAFUAG00005845,AFUA_3G12320,"lipase/serine esterase, putative; encoded by transcript AFUB_036840A","Afu3g12320 (Alt. Locus), lipase/serine esterase, putative, contains a DUF676 domain"
CADAFUBG00003672,AFUB_036850,CADAFUAG00005106,AFUA_3G12310,"RNA exonuclease Rex3, putative; encoded by transcript AFUB_036850A",RNA exonuclease 3 (EC 3.1.-.-) [Source:UniProtKB/Swiss-Prot;Acc:Q4WYA1]
CADAFUBG00003673,AFUB_036860,CADAFUAG00004943,AFUA_3G12300,"60S ribosomal protein L22, putative; encoded by transcript AFUB_036860A","Afu3g12300 (Alt. Locus), 60S ribosomal protein L22, putative"
CADAFUBG00003674,AFUB_036870,CADAFUAG00005615,AFUA_3G12290,pre-mRNA splicing factor Dim1; encoded by transcript AFUB_036870A,"Afu3g12290 (Alt. Locus), pre-mRNA splicing factor Dim1"
CADAFUBG00003675,AFUB_036880,,,hypothetical protein; encoded by transcript AFUB_036880A,
CADAFUBG00003676,AFUB_036890,CADAFUAG00005457,AFUA_3G12280,"recombination hotspot-binding protein (Translin), putative; encoded by transcript AFUB_036890A similar to translin; recombination hotspot associated factor; recombination hotspot-binding protein (GI:4759270) [Homo sapiens]","Afu3g12280 (Alt. Locus), recombination hotspot-binding protein (Translin), putative, similar to translin; recombination hotspot associated factor; recombination hotspot-binding protein (GI:4759270) (Homo sapiens)"
CADAFUBG00003677,AFUB_036900,CADAFUAG00005429,AFUA_3G12270,"glutathione peroxidase Hyr1, putative; encoded by transcript AFUB_036900A","Afu3g12270 (Alt. Locus), glutathione peroxidase Hyr1, putative, similar to thiol peroxidase that functions as a hydroperoxide receptor to sense intracellular hydroperoxide levels and transduce a redox signal to the Yap1p transcription factor; Hyr1p (GI:6322228) (Saccharomyces cerevisiae) PubMed=9315326 PMID: 10480913, (1.11.1.9)"
CADAFUBG00003678,AFUB_036910,CADAFUAG00005561,AFUA_3G12260,conserved hypothetical protein; encoded by transcript AFUB_036910A,"Afu3g12260 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003679,AFUB_036920,CADAFUAG00005624,AFUA_3G12255,conserved hypothetical protein; encoded by transcript AFUB_036920A,"Afu3g12255 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003680,AFUB_036930,CADAFUAG00005747,AFUA_3G12250,"protein-tyrosine phosphatase, putative; encoded by transcript AFUB_036930A","Afu3g12250 (Alt. Locus), protein-tyrosine phosphatase, putative"
CADAFUBG00003681,AFUB_036940,CADAFUAG00005867,AFUA_3G12240,hypothetical protein; encoded by transcript AFUB_036940A,"Afu3g12240 (Alt. Locus), hypothetical protein"
CADAFUBG00003682,AFUB_036950,CADAFUAG00005725,AFUA_3G12230,conserved hypothetical protein; encoded by transcript AFUB_036950A,"Afu3g12230 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003683,AFUB_036960,CADAFUAG00005133,AFUA_3G12220,"ABC transporter, putative; encoded by transcript AFUB_036960A similar to ABC transporter abc1 (GI:2414667) [Schizosaccharomyces pombe]","Afu3g12220 (Alt. Locus), ABC transporter, putative, similar to  ABC transporter abc1 (GI:2414667) (Schizosaccharomyces pombe) PMID: 9037770, (3.6.3.-)"
CADAFUBG00003684,AFUB_036970,CADAFUAG00004976,AFUA_3G12210,"carboxypeptidase Y, putative; encoded by transcript AFUB_036970A","Afu3g12210 (Alt. Locus), carboxypeptidase Y, putative, (3.4.16.5)"
CADAFUBG00003685,AFUB_036980,CADAFUAG00005579,AFUA_3G12200,"small oligopeptide transporter, OPT family; encoded by transcript AFUB_036980A","Afu3g12200 (Alt. Locus), small oligopeptide transporter, OPT family"
CADAFUBG00003686,AFUB_036990,CADAFUAG00004980,AFUA_3G12190,"RING finger domain protein, putative; encoded by transcript AFUB_036990A","Afu3g12190 (Alt. Locus), RING finger domain protein, putative"
CADAFUBG00003687,AFUB_037000,CADAFUAG00005119,AFUA_3G12180,"C6 transcription factor, putative; encoded by transcript AFUB_037000A","Afu3g12180 (Alt. Locus), C6 transcription factor, putative"
CADAFUBG00003688,AFUB_037010,CADAFUAG00005283,AFUA_3G12170,"MFS sugar transporter, putative; encoded by transcript AFUB_037010A","Afu3g12170 (Alt. Locus), MFS sugar transporter, putative"
CADAFUBG00003689,AFUB_037020,CADAFUAG00005471,AFUA_3G12160,"homeobox transcription factor, putative; encoded by transcript AFUB_037020A","Afu3g12160 (Alt. Locus), homeobox transcription factor, putative"
CADAFUBG00003690,AFUB_037030,CADAFUAG00005519,AFUA_3G12150,"flavin containing amine oxidase, putative; encoded by transcript AFUB_037030A","Afu3g12150 (Alt. Locus), flavin containing amine oxidase, putative, (1.4.3.-)"
CADAFUBG00003691,AFUB_037040,CADAFUAG00005655,AFUA_3G12140,conserved hypothetical protein; encoded by transcript AFUB_037040A,"Afu3g12140 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003692,AFUB_037050,CADAFUAG00005772,AFUA_3G12130,conserved hypothetical protein; encoded by transcript AFUB_037050A,"Afu3g12130 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003693,AFUB_037060,CADAFUAG00004975,AFUA_3G12120,"fatty acid oxygenase PpoC, putative; encoded by transcript AFUB_037060A","Linoleate 10R-dioxygenaseFatty acid oxygenase PpoC, putative ;(EC 1.14.-.-) [Source:UniProtKB/TrEMBL;Acc:Q4WY82]"
CADAFUBG00003694,AFUB_037070,CADAFUAG00005214,AFUA_3G12110,dynactin Arp1 p25 subunit; encoded by transcript AFUB_037070A,"Afu3g12110 (Alt. Locus), dynactin Arp1 p25 subunit"
CADAFUBG00003695,AFUB_037080,CADAFUAG00005525,AFUA_3G12100,"trehalose synthase (Ccg-9), putative; encoded by transcript AFUB_037080A","Afu3g12100 (Alt. Locus), trehalose synthase (Ccg-9), putative, similar to clock-controlled gene-9 protein; CCG-9 (GI:3746895) (Neurospora crassa), (2.4.1.-)"
CADAFUBG00003696,AFUB_037090,CADAFUAG00005447,AFUA_3G12090,hypothetical protein; encoded by transcript AFUB_037090A,"Afu3g12090 (Alt. Locus), hypothetical protein"
CADAFUBG00003697,AFUB_037100,CADAFUAG00005379,AFUA_3G12080,"ADP-ribosylation factor 6, putative; encoded by transcript AFUB_037100A","Afu3g12080 (Alt. Locus), ADP-ribosylation factor 6, putative"
CADAFUBG00003698,AFUB_037110,CADAFUAG00005820,AFUA_3G12070,conserved hypothetical protein; encoded by transcript AFUB_037110A,"Afu3g12070 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003699,AFUB_037120,CADAFUAG00004950,AFUA_3G12060,"Methionine synthase, vitamin-B12 independent, putative; encoded by transcript AFUB_037120A","Afu3g12060 (Alt. Locus), Methionine synthase, vitamin-B12 independent, putative"
CADAFUBG00003700,AFUB_037130,CADAFUAG00005079,AFUA_3G12050,F-box domain protein; encoded by transcript AFUB_037130A,"Afu3g12050 (Alt. Locus), F-box domain protein"
CADAFUBG00003701,AFUB_037140,CADAFUAG00005751,AFUA_3G12040,conserved hypothetical protein; encoded by transcript AFUB_037140A,"Afu3g12040 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003702,AFUB_037150,CADAFUAG00005847,AFUA_3G12030,"PHD transcription factor, putative; encoded by transcript AFUB_037150A","Afu3g12030 (Alt. Locus), PHD transcription factor, putative, similar to subunit of the COMPASS complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; Spp1p; Lpi8p (GI:6325119) (Saccharomyces cerevisiae)  similar to GB:AAH00770.1: death associated transcription factor 1,             isoform b (Homo sapiens)"
CADAFUBG00003703,AFUB_037160,CADAFUAG00005449,AFUA_3G12020,sigma-70 region 2 family protein; encoded by transcript AFUB_037160A,"Afu3g12020 (Alt. Locus), sigma-70 region 2 family protein"
CADAFUBG00003704,AFUB_037170,CADAFUAG00005575,AFUA_3G12010,"high-affinity hexose transporter, putative; encoded by transcript AFUB_037170A","Afu3g12010 (Alt. Locus), high-affinity hexose transporter, putative"
CADAFUBG00003705,AFUB_037180,,,conserved hypothetical protein; encoded by transcript AFUB_037180A,
CADAFUBG00003706,AFUB_037190,CADAFUAG00005328,AFUA_3G11990,"C6 transcription factor (Mut3), putative; encoded by transcript AFUB_037190A","Afu3g11990 (Alt. Locus), C6 transcription factor (Mut3), putative"
CADAFUBG00003707,AFUB_037200,CADAFUAG00005193,AFUA_3G11980,"oxidoreductase, 2OG-Fe(II) oxygenase family family; encoded by transcript AFUB_037200A","Afu3g11980 (Alt. Locus), oxidoreductase, 2OG-Fe(II) oxygenase family family"
CADAFUBG00003708,AFUB_037210,CADAFUAG00005110,AFUA_3G11970,"C2H2 transcription factor PacC, putative; encoded by transcript AFUB_037210A",pH-response transcription factor pacC/RIM101  [Source:UniProtKB/Swiss-Prot;Acc:Q4WY67]
CADAFUBG00003709,AFUB_037220,CADAFUAG00005312,AFUA_3G11960,"forkhead transcription factor Fkh1/2, putative; encoded by transcript AFUB_037220A","Afu3g11960 (Alt. Locus), forkhead transcription factor Fkh1/2, putative, similar to Transcription factor of the forkhead family that regulates the cell cycle and pseudohyphal growth; also involved in chromatin silencing at HML and HMR; Fkh1p (GI:6322060) (Saccharomyces cerevisiae)  similar to transcription factor of the forkhead family that regulates the cell cycle and pseudohyphal growth; also involved in chromatin silencing at HML and HMR; potential Cdc28p substrate; Fkh2p (GI:6324261) (Saccharomyces cerevisiae)"
CADAFUBG00003710,AFUB_037230,CADAFUAG00005286,AFUA_3G11955,"transcription regulator PAB1642, putative; encoded by transcript AFUB_037230A","Afu3g11955 (Alt. Locus), transcription regulator PAB1642, putative"
CADAFUBG00003711,AFUB_037240,CADAFUAG00005363,AFUA_3G11950,conserved hypothetical protein; encoded by transcript AFUB_037240A,"Afu3g11950 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003712,AFUB_037250,CADAFUAG00005289,AFUA_3G11940,"PHD finger domain protein, putative; encoded by transcript AFUB_037250A","Afu3g11940 (Alt. Locus), PHD finger domain protein, putative"
CADAFUBG00003713,AFUB_037260,CADAFUAG00005296,AFUA_3G11930,"NAD binding Rossmann fold oxidoreductase, putative; encoded by transcript AFUB_037260A","Afu3g11930 (Alt. Locus), NAD binding Rossmann fold oxidoreductase, putative, (1.-.-.-)"
CADAFUBG00003714,AFUB_037270,CADAFUAG00005484,AFUA_3G11920,dihydrodipicolinate synthetase family protein; encoded by transcript AFUB_037270A,"Afu3g11920 (Alt. Locus), dihydrodipicolinate synthetase family protein, similar to GB:AAO43656.1: dihydrodipicolinate synthase (Escherichia             coli)           similar to Dihydrodipicolinate synthase (EC 4.2.1.52) (DHDPS). (Swiss-Prot:P19808) (Corynebacterium glutamicum;), (4.2.1.-)"
CADAFUBG00003715,AFUB_037280,CADAFUAG00005072,AFUA_3G11900,"oxidoreductase, zinc-binding; encoded by transcript AFUB_037280A","Afu3g11900 (Alt. Locus), oxidoreductase, zinc-binding, (1.1.1.2)"
CADAFUBG00003716,AFUB_037290,CADAFUAG00005646,AFUA_3G11890,"thermolabile L-asparaginase, putative; encoded by transcript AFUB_037290A","Afu3g11890 (Alt. Locus), thermolabile L-asparaginase, putative, similar to GB:AAF00929.1: L-asparaginase II {Rhizobium etli;}"
CADAFUBG00003717,AFUB_037300,CADAFUAG00005391,AFUA_3G11880,hypothetical protein; encoded by transcript AFUB_037300A,"Afu3g11880 (Alt. Locus), hypothetical protein"
CADAFUBG00003718,AFUB_037310,CADAFUAG00004971,AFUA_3G11870,"F-box and WD40 domain protein, putative; encoded by transcript AFUB_037310A","Afu3g11870 (Alt. Locus), F-box and WD40 domain protein, putative, similar to F-box protein FBW7 (GI:14280321) (Homo sapiens)"
CADAFUBG00003719,AFUB_037320,CADAFUAG00005009,AFUA_3G11860,"microtubule associated protein EB1, putative; encoded by transcript AFUB_037320A","Afu3g11860 (Alt. Locus), microtubule associated protein EB1, putative"
CADAFUBG00003720,AFUB_037330,CADAFUAG00005257,AFUA_3G11850,conserved hypothetical protein; encoded by transcript AFUB_037330A,"Afu3g11850 (Alt. Locus), conserved hypothetical protein"
CADAFUBG00003721,AFUB_037340,CADAFUAG00005862,AFUA_3G11840,"NAD binding Rossmann fold oxidoreductase, putative; encoded by transcript AFUB_037340A","Afu3g11840 (Alt. Locus), NAD binding Rossmann fold oxidoreductase, putative, (1.-.-.-)"
CADAFUBG00003722,AFUB_037350,CADAFUAG00005705,AFUA_3G11830,phosphoglucomutase PgmA; encoded by transcript AFUB_037350A,Phosphoglucomutase (PGM)(EC 5.4.2.2)(Glucose phosphomutase) [Source:UniProtKB/Swiss-Prot;Acc:Q4WY53]
